"","date","area_comb","n_poly_comb","area_coastal","n_poly_coastal","area_oceanic","n_poly_oceanic","WDLarea_comb","WDLn_poly_comb","WDLarea_coastal","WDLn_poly_coastal","WDLarea_oceanic","WDLn_poly_oceanic","AMDarea_comb","AMDn_poly_comb","AMDarea_coastal","AMDn_poly_coastal","AMDarea_oceanic","AMDn_poly_oceanic","BELarea_comb","BELn_poly_comb","BELarea_coastal","BELn_poly_coastal","BELarea_oceanic","BELn_poly_oceanic","PACarea_comb","PACn_poly_comb","PACarea_coastal","PACn_poly_coastal","PACarea_oceanic","PACn_poly_oceanic","ROSarea_comb","ROSn_poly_comb","ROSarea_coastal","ROSn_poly_coastal","ROSarea_oceanic","ROSn_poly_oceanic","INDarea_comb","INDn_poly_comb","INDarea_coastal","INDn_poly_coastal","INDarea_oceanic","INDn_poly_oceanic"
"12219",2017-02-25,19381.4625141302,11,18131.4565983325,10,1250.00591579767,1,1250.00596423999,1,1250.00596423999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14381.4427855352,6,13131.4368697376,5,1250.00591579767,1,0,0,0,0,0,0,3750.01376435493,4,3750.01376435493,4,0,0
"12220",2017-02-26,9374.55920241374,8,9374.55920241374,8,0,0,625.001183151489,1,625.001183151489,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6249.54988611986,4,6249.54988611986,4,0,0,0,0,0,0,0,0,2500.0081331424,3,2500.0081331424,3,0,0
"12221",2017-02-27,12502.6668127572,5,11877.6656427571,4,625.001170000061,1,8752.6523537832,2,8752.6523537832,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3125.01328251236,2,2500.0121125123,1,625.001170000061,1,0,0,0,0,0,0,625.001176461639,1,625.001176461639,1,0,0
"12222",2017-02-28,17502.5815828375,10,15627.5744576147,8,1875.00712522284,2,5000.5452660423,2,3750.53931081952,1,1250.00595522278,1,0,0,0,0,0,0,0,0,0,0,0,0,10627.0327877142,5,10002.0316177142,4,625.001170000061,1,0,0,0,0,0,0,1875.00352908099,3,1875.00352908099,3,0,0
"12223",2017-03-01,8125.05992785396,6,8125.05992785396,6,0,0,1250.00596423999,1,1250.00596423999,1,0,0,0,0,0,0,0,0,625.001179853348,1,625.001179853348,1,0,0,5000.05043076321,2,5000.05043076321,2,0,0,0,0,0,0,0,0,1250.00235299741,2,1250.00235299741,2,0,0
"12224",2017-03-02,2500.00831047396,3,2500.00831047396,3,0,0,1250.00596423999,1,1250.00596423999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625.001169772331,1,625.001169772331,1,0,0,0,0,0,0,0,0,625.001176461639,1,625.001176461639,1,0,0
"12225",2017-03-03,20000.4345365319,7,20000.4345365319,7,0,0,5627.01467287866,1,5627.01467287866,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11248.4069523648,4,11248.4069523648,4,0,0,0,0,0,0,0,0,3125.01291128836,2,3125.01291128836,2,0,0
"12226",2017-03-04,18126.7360979353,8,18126.7360979353,8,0,0,8751.69110932422,2,8751.69110932422,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6875.03700440112,3,6875.03700440112,3,0,0,0,0,0,0,0,0,2500.00798420994,3,2500.00798420994,3,0,0
"12227",2017-03-05,17500.5032671676,11,16875.502094673,10,625.00117249469,1,6250.39170322723,2,6250.39170322723,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3750.01378483614,3,3125.01261234145,2,625.00117249469,1,4375.08503846436,3,4375.08503846436,3,0,0,3125.0127406399,3,3125.0127406399,3,0,0
"12228",2017-03-06,16876.799272142,7,16876.799272142,7,0,0,2500.01191852673,2,2500.01191852673,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7501.6873100999,2,7501.6873100999,2,0,0,3125.08267191782,1,3125.08267191782,1,0,0,3750.01737159755,2,3750.01737159755,2,0,0
"12229",2017-03-07,17499.6365779865,12,13749.8714019144,10,3749.76517607215,2,4999.77114547894,3,1875.00713743823,2,3124.76400804071,1,0,0,0,0,0,0,0,0,0,0,0,0,8124.84991430521,4,7499.84874627377,3,625.001168031441,1,2500.01199430164,2,2500.01199430164,2,0,0,1875.00352390075,3,1875.00352390075,3,0,0
"12230",2017-03-08,12501.5192507914,10,12501.5192507914,10,0,0,1875.09788699402,1,1875.09788699402,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6251.40619418913,4,6251.40619418913,4,0,0,1875.00718539835,2,1875.00718539835,2,0,0,2500.00798420994,3,2500.00798420994,3,0,0
"12231",2017-03-09,7500.02087988182,9,7500.02087988182,9,0,0,625.001183151489,1,625.001183151489,1,0,0,0,0,0,0,0,0,625.001176772827,1,625.001176772827,1,0,0,2500.01144256912,1,2500.01144256912,1,0,0,1875.00355348763,3,1875.00355348763,3,0,0,1875.00352390075,3,1875.00352390075,3,0,0
"12232",2017-03-10,9373.27770915369,3,9373.27770915369,3,0,0,6248.75382754565,1,6248.75382754565,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1874.51794871643,1,1874.51794871643,1,0,0,0,0,0,0,0,0,1250.0059328916,1,1250.0059328916,1,0,0
"12233",2017-03-11,10625.3864576596,7,10625.3864576596,7,0,0,2500.01905037935,2,2500.01905037935,2,0,0,0,0,0,0,0,0,3124.25404865233,1,3124.25404865233,1,0,0,3126.10982297049,1,3126.10982297049,1,0,0,625.00118266005,1,625.00118266005,1,0,0,1250.00235299741,2,1250.00235299741,2,0,0
"12234",2017-03-12,11874.0285485471,7,11874.0285485471,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3124.25404865233,1,3124.25404865233,1,0,0,4999.91825648834,3,4999.91825648834,3,0,0,1874.84913397903,1,1874.84913397903,1,0,0,1875.00710942737,2,1875.00710942737,2,0,0
"12235",2017-03-13,22501.1442532049,9,22501.1442532049,9,0,0,1875.0069220231,2,1875.0069220231,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15626.2301203953,4,15626.2301203953,4,0,0,2499.89547040152,2,2499.89547040152,2,0,0,2500.01174038501,1,2500.01174038501,1,0,0
"12236",2017-03-14,16249.6806173473,12,15624.6794422338,11,625.001175113495,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8749.6455357518,4,8749.6455357518,4,0,0,3750.0211658421,4,3750.0211658421,4,0,0,3750.0139157534,4,3125.0127406399,3,625.001175113495,1
"12237",2017-03-15,11251.4238357932,7,11251.4238357932,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3750.02112154153,3,3750.02112154153,3,0,0,3125.50670793169,2,3125.50670793169,2,0,0,4375.89600631996,2,4375.89600631996,2,0,0
"12238",2017-03-16,17500.5509295221,12,16250.5449696987,11,1250.00595982336,1,3125.02279516064,2,3125.02279516064,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5626.11812660688,4,4376.11216678351,3,1250.00595982336,1,3749.78227549045,2,3749.78227549045,2,0,0,4999.62773226411,4,4999.62773226411,4,0,0
"12239",2017-03-17,36884.3752672818,8,36884.3752672818,8,0,0,625.001172208191,1,625.001172208191,1,0,0,0,0,0,0,0,0,1250.00601644943,1,1250.00601644943,1,0,0,15626.204185638,3,15626.204185638,3,0,0,18133.1582617737,2,18133.1582617737,2,0,0,1250.00563121254,1,1250.00563121254,1,0,0
"12240",2017-03-18,26251.2597185449,13,26251.2597185449,13,0,0,3125.01287281209,3,3125.01287281209,3,0,0,625.00118038118,1,625.00118038118,1,0,0,1875.00719575671,2,1875.00719575671,2,0,0,4374.91708528485,2,4374.91708528485,2,0,0,12500.4298382993,3,12500.4298382993,3,0,0,3750.89154601077,2,3750.89154601077,2,0,0
